Unnamed: 0,Player ID,Player Surname,Player Forename,Team,Position Id,recomendacion,cluster
0,28566,Abou Diaby,Vassiriki,Arsenal,4,"[105190, 93666, 6769, 19688, 59304]","[999, 1307, 1615, 1840, 2559, 4374, 4740, 5043, 6769, 7459, 10451, 13524, 14295, 14489, 15109, 17891, 18215, 18430, 19197, 19602, 19688, 19946, 20589, 28342, 37939, 38290, 39104, 40231, 40387, 40564, 40660, 42518, 43250, 44302, 53371, 59304, 59325, 74208, 75773, 78774, 79843, 81025, 83701, 88821, 88894, 91128, 93666, 98464, 103955, 105190, 114042]"
4,20208,Adam,Charlie,Liverpool,4,"[16058, 15276, 19151, 18428, 4611]",[]
32,19959,Adam Johnson,,Manchester City,4,"[18753, 10425, 19196, 39104, 1814]","[10425, 18753, 19196, 39202]"
58,17500,Adebayor,Emmanuel,Tottenham Hotspur,6,"[37352, 20452, 20450, 15398, 27450]",[37572]
91,27450,Agbonlahor,Gabriel,Aston Villa,6,"[20450, 26900, 49013, 4396, 4570]",[20450]
124,21094,Agger,Daniel,Liverpool,2,"[37642, 8358, 37269, 19188, 40725]","[1718, 1764, 7551, 7645, 7933, 8358, 8380, 10466, 11911, 12413, 15284, 15943, 17476, 19008, 19159, 19188, 19272, 19341, 19419, 19958, 20359, 26793, 37642, 37742, 37869, 39253, 41135, 43035, 51507, 68815]"
151,39217,Agustien,Kemy,Swansea City,4,"[14295, 52876, 83701, 2559, 43191]","[363, 2019, 4990, 7670, 8442, 9110, 10454, 12882, 13227, 13308, 13594, 14469, 14898, 15076, 15188, 18586, 19556, 27258, 27696, 27707, 28097, 34296, 37639, 38297, 41208, 41823, 43191, 49384, 49944, 50232, 51887, 56861, 56864, 56944, 57069, 73459, 77800, 78056, 80442, 81880, 92372]"
164,5730,Agyemang,Patrick,Queens Park Rangers,6,"[5692, 89328, 86168, 40399, 39776]","[1619, 1795, 4454, 5692, 19916, 20298, 32317, 33223, 36968, 39776, 39982, 40275, 40399, 40501, 46581, 49013, 51484, 55586, 59970, 61538, 66749, 66978, 80061, 80181, 89328, 91126, 95703, 107853]"
166,37572,Agüero,Sergio,Manchester City,6,"[17500, 49013, 26900, 49724, 46581]",[17500]
200,28491,Al-Habsi,Ali,Wigan Athletic,1,"[19236, 20480, 38251, 11334, 1827]","[1803, 1822, 1827, 3119, 11334, 15337, 15749, 51940]"
238,51938,Albrighton,Marc,Aston Villa,4,"[15944, 41262, 20695, 3658, 1256]","[1256, 15944, 20695, 41262]"
